"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",49,32,29,40,0,0,0,0,65,40,23,0,0,0,0,63,0,60,119,0,0,0,230,73,593,289,0,0,0,0,3,0,3,5,0,1,160,529,0,0,0,0,"0x00a05030",112,"0x00a06040",98,"0x00905030",73,"0x00b06040",61,"0x00b05030",58,"0x00a05040",36,"0x00904030",35,"0x00a04030",31,"0x00805030",25,"0x00b07040",24,"0x00906040",23,"0x00804030",18,"0x00904020",17,"0x00a06030",16,"0x00c05030",15,"0x00d06040",14,"0x00905040",13,"0x00b05040",13,"0x00b06030",13,"0x00804020",13,"11012021  11:00:47"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",33,16,18,39,0,0,0,0,34,60,38,0,0,0,0,118,0,61,118,0,0,0,176,43,436,251,0,0,0,0,3,0,3,5,0,1,274,558,0,0,0,0,"0x00905030",134,"0x00a06040",85,"0x00a05030",83,"0x00805030",78,"0x00804030",63,"0x00a05040",52,"0x00905040",45,"0x00906040",43,"0x00b05040",41,"0x00904030",39,"0x00b06040",39,"0x00c06040",24,"0x00705030",17,"0x00a06030",16,"0x00906030",14,"0x00b07040",13,"0x00b05030",12,"0x00704030",12,"0x00c07040",11,"0x00d07040",10,"11012021  11:00:49"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",37,22,21,39,0,0,0,0,10,99,31,0,0,0,0,209,0,63,118,0,0,0,196,53,499,275,0,0,0,0,3,0,3,5,0,1,237,560,0,0,0,0,"0x00905030",123,"0x00805030",93,"0x00b06040",91,"0x00906040",86,"0x00a05030",73,"0x00a06040",70,"0x00804030",35,"0x00b07040",33,"0x00a05040",27,"0x00704030",21,"0x00905040",20,"0x00907040",18,"0x00c06040",18,"0x00c07050",18,"0x00906030",18,"0x00a07040",18,"0x00b07050",17,"0x00705030",17,"0x00b05030",15,"0x00a06030",14,"11012021  11:00:50"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",33,21,14,47,0,0,0,0,11,132,15,0,0,0,0,59,0,61,110,0,0,0,317,206,661,219,0,0,0,0,3,0,3,5,0,1,220,654,0,0,0,0,"0x00a06040",131,"0x00b06040",127,"0x00b05030",83,"0x00a05030",78,"0x00b07050",66,"0x00b07040",53,"0x00c07050",37,"0x00a05040",37,"0x00b05040",34,"0x00905030",34,"0x00c06040",29,"0x00a04030",26,"0x00906040",22,"0x00c08050",19,"0x00904030",18,"0x00a07040",17,"0x00c07040",15,"0x00804030",14,"0x00905040",13,"0x00805030",10,"11012021  11:00:52"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",32,19,15,53,0,0,0,0,21,15,6,0,0,0,0,105,0,61,107,0,0,0,184,36,334,187,0,0,0,0,3,0,3,5,0,1,198,418,0,0,0,0,"0x00a06040",155,"0x00b06040",123,"0x00905030",80,"0x00c06040",64,"0x00a05030",60,"0x00805030",59,"0x00d06040",47,"0x00a05040",45,"0x00906040",39,"0x00b07040",31,"0x00905040",22,"0x00804030",21,"0x00b07050",20,"0x00b05040",20,"0x00704030",20,"0x00e06040",18,"0x00a07040",16,"0x00c07040",15,"0x00b05030",12,"0x00705030",11,"11012021  11:00:55"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",36,15,26,72,0,0,0,0,170,90,15,3,0,0,0,113,0,62,111,0,0,0,361,198,496,156,0,0,0,0,3,0,3,5,0,1,187,507,0,0,0,0,"0x00905030",115,"0x00805030",86,"0x00a05030",78,"0x00a06040",60,"0x00b06040",57,"0x00b05040",49,"0x00c06040",47,"0x00906040",41,"0x00b05030",40,"0x00a05040",40,"0x00804030",27,"0x00904030",21,"0x00905040",20,"0x00c07040",19,"0x00b07040",17,"0x00906030",13,"0x00b07050",12,"0x00a06030",10,"0x00c08050",9,"0x00704030",9,"11012021  11:00:56"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",24,20,4,58,0,0,0,0,156,79,37,0,0,0,0,105,0,60,119,0,0,0,332,213,571,178,0,0,0,0,3,0,3,5,0,1,282,652,0,0,0,0,"0x00905030",104,"0x00a05030",99,"0x00904030",67,"0x00b06040",61,"0x00a05040",59,"0x00a06040",55,"0x00b05030",41,"0x00b05040",35,"0x00804030",33,"0x00805030",32,"0x00906040",31,"0x00905040",28,"0x00c06040",23,"0x00a04030",17,"0x00b07040",17,"0x00b07050",16,"0x00b06030",13,"0x00a07040",12,"0x00803020",12,"0x00a06030",11,"11012021  11:00:58"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",34,21,14,39,0,0,0,0,55,25,9,0,0,0,0,70,0,60,104,0,0,0,188,49,470,264,0,0,0,0,3,0,3,5,0,1,62,370,0,0,0,0,"0x00b06040",118,"0x00a06040",95,"0x00c06040",79,"0x00905030",74,"0x00a05030",72,"0x00b05030",50,"0x00d06040",44,"0x00805030",33,"0x00a05040",29,"0x00904030",27,"0x00905040",27,"0x00906040",25,"0x00b05040",24,"0x00b07040",21,"0x00c05040",21,"0x00804030",20,"0x00b07050",19,"0x00c05030",19,"0x00704030",17,"0x00c07050",15,"11012021  11:00:59"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",27,22,6,53,0,0,0,0,11,292,43,0,0,0,0,95,0,60,127,0,0,0,247,91,453,197,0,0,0,0,3,0,3,5,0,1,147,445,0,0,0,0,"0x00904030",97,"0x00905030",92,"0x00a05030",81,"0x00a06040",55,"0x00804030",54,"0x00b05030",49,"0x00a04030",38,"0x00805030",32,"0x00b06040",32,"0x00b04030",25,"0x00906040",24,"0x00905040",21,"0x00804020",20,"0x00704030",20,"0x00c05030",19,"0x00b07040",17,"0x00c06040",16,"0x00805040",14,"0x00a05040",12,"0x00904020",12,"11012021  11:01:04"
"21MC010024CUNA03_00102_1_BayouBelle_G2","t1","t3",43,23,21,45,0,0,0,0,141,62,15,0,0,0,0,61,0,59,113,0,0,0,326,211,720,239,0,0,0,0,3,0,3,5,0,1,179,650,0,0,0,0,"0x00b06040",98,"0x00a06040",92,"0x00a05030",71,"0x00b05040",65,"0x00a05040",61,"0x00b05030",50,"0x00c06040",48,"0x00905030",48,"0x00905040",40,"0x00906040",27,"0x00904030",26,"0x00a04030",25,"0x00b07050",25,"0x00c07040",23,"0x00c05040",22,"0x00b07040",22,"0x00c07050",18,"0x00805030",15,"0x00c08050",12,"0x00a07040",10,"11012021  11:01:05"
